週,感冒
2015-04-12,48
2015-04-19,50
2015-04-26,45
2015-05-03,42
2015-05-10,44
2015-05-17,49
2015-05-24,43
2015-05-31,45
2015-06-07,41
2015-06-14,45
2015-06-21,42
2015-06-28,37
2015-07-05,36
2015-07-12,39
2015-07-19,38
2015-07-26,39
2015-08-02,33
2015-08-09,31
2015-08-16,36
2015-08-23,32
2015-08-30,42
2015-09-06,38
2015-09-13,44
2015-09-20,58
2015-09-27,52
2015-10-04,53
2015-10-11,55
2015-10-18,49
2015-10-25,51
2015-11-01,52
2015-11-08,56
2015-11-15,51
2015-11-22,57
2015-11-29,63
2015-12-06,56
2015-12-13,71
2015-12-20,63
2015-12-27,66
2016-01-03,43
2016-01-10,42
2016-01-17,48
2016-01-24,48
2016-01-31,53
2016-02-07,52
2016-02-14,64
2016-02-21,67
2016-02-28,60
2016-03-06,56
2016-03-13,54
2016-03-20,51
2016-03-27,50
2016-04-03,46
2016-04-10,46
2016-04-17,33
2016-04-24,38
2016-05-01,38
2016-05-08,36
2016-05-15,32
2016-05-22,31
2016-05-29,36
2016-06-05,31
2016-06-12,34
2016-06-19,25
2016-06-26,26
2016-07-03,28
2016-07-10,26
2016-07-17,33
2016-07-24,38
2016-07-31,32
2016-08-07,30
2016-08-14,28
2016-08-21,31
2016-08-28,31
2016-09-04,36
2016-09-11,31
2016-09-18,39
2016-09-25,36
2016-10-02,39
2016-10-09,41
2016-10-16,42
2016-10-23,41
2016-10-30,48
2016-11-06,44
2016-11-13,47
2016-11-20,47
2016-11-27,50
2016-12-04,51
2016-12-11,50
2016-12-18,57
2016-12-25,65
2017-01-01,59
2017-01-08,63
2017-01-15,59
2017-01-22,51
2017-01-29,55
2017-02-05,65
2017-02-12,63
2017-02-19,54
2017-02-26,61
2017-03-05,56
2017-03-12,63
2017-03-19,62
2017-03-26,61
2017-04-02,63
2017-04-09,58
2017-04-16,56
2017-04-23,54
2017-04-30,57
2017-05-07,58
2017-05-14,61
2017-05-21,52
2017-05-28,53
2017-06-04,43
2017-06-11,54
2017-06-18,51
2017-06-25,51
2017-07-02,52
2017-07-09,55
2017-07-16,59
2017-07-23,47
2017-07-30,45
2017-08-06,48
2017-08-13,43
2017-08-20,47
2017-08-27,42
2017-09-03,53
2017-09-10,55
2017-09-17,60
2017-09-24,66
2017-10-01,55
2017-10-08,56
2017-10-15,63
2017-10-22,60
2017-10-29,66
2017-11-05,62
2017-11-12,63
2017-11-19,64
2017-11-26,56
2017-12-03,74
2017-12-10,77
2017-12-17,88
2017-12-24,100
2017-12-31,97
2018-01-07,88
2018-01-14,88
2018-01-21,87
2018-01-28,87
2018-02-04,77
2018-02-11,71
2018-02-18,81
2018-02-25,79
2018-03-04,71
2018-03-11,69
2018-03-18,65
2018-03-25,70
2018-04-01,60
2018-04-08,63
2018-04-15,60
2018-04-22,58
2018-04-29,52
2018-05-06,48
2018-05-13,46
2018-05-20,47
2018-05-27,50
2018-06-03,46
2018-06-10,47
2018-06-17,45
2018-06-24,41
2018-07-01,48
2018-07-08,46
2018-07-15,46
2018-07-22,49
2018-07-29,50
2018-08-05,46
2018-08-12,52
2018-08-19,48
2018-08-26,45
2018-09-02,55
2018-09-09,61
2018-09-16,64
2018-09-23,61
2018-09-30,61
2018-10-07,70
2018-10-14,61
2018-10-21,64
2018-10-28,71
2018-11-04,64
2018-11-11,65
2018-11-18,68
2018-11-25,63
2018-12-02,72
2018-12-09,77
2018-12-16,72
2018-12-23,78
2018-12-30,87
2019-01-06,96
2019-01-13,82
2019-01-20,85
2019-01-27,86
2019-02-03,69
2019-02-10,74
2019-02-17,75
2019-02-24,74
2019-03-03,67
2019-03-10,66
2019-03-17,60
2019-03-24,73
2019-03-31,64
2019-04-07,63
2019-04-14,61
2019-04-21,53
2019-04-28,55
2019-05-05,61
2019-05-12,58
2019-05-19,60
2019-05-26,62
2019-06-02,55
2019-06-09,56
2019-06-16,57
2019-06-23,48
2019-06-30,53
2019-07-07,43
2019-07-14,52
2019-07-21,51
2019-07-28,42
2019-08-04,47
2019-08-11,48
2019-08-18,46
2019-08-25,49
2019-09-01,49
2019-09-08,53
2019-09-15,63
2019-09-22,66
2019-09-29,64
2019-10-06,60
2019-10-13,72
2019-10-20,62
2019-10-27,58
2019-11-03,63
2019-11-10,66
2019-11-17,76
2019-11-24,73
2019-12-01,81
2019-12-08,77
2019-12-15,90
2019-12-22,87
2019-12-29,85
2020-01-05,84
2020-01-12,74
2020-01-19,84
2020-01-26,87
2020-02-02,73
2020-02-09,67
2020-02-16,58
2020-02-23,52
2020-03-01,50
2020-03-08,48
2020-03-15,51
2020-03-22,45
2020-03-29,36
2020-04-05,40
