類別：所有類別

月,火鍋: (台灣)
2004-01,13
2004-02,10
2004-03,5
2004-04,5
2004-05,5
2004-06,4
2004-07,7
2004-08,8
2004-09,10
2004-10,11
2004-11,10
2004-12,15
2005-01,17
2005-02,10
2005-03,11
2005-04,6
2005-05,6
2005-06,8
2005-07,9
2005-08,10
2005-09,12
2005-10,10
2005-11,13
2005-12,21
2006-01,16
2006-02,15
2006-03,6
2006-04,7
2006-05,8
2006-06,7
2006-07,10
2006-08,10
2006-09,11
2006-10,10
2006-11,14
2006-12,21
2007-01,15
2007-02,12
2007-03,8
2007-04,7
2007-05,10
2007-06,10
2007-07,8
2007-08,14
2007-09,13
2007-10,19
2007-11,23
2007-12,24
2008-01,22
2008-02,24
2008-03,14
2008-04,11
2008-05,13
2008-06,16
2008-07,13
2008-08,16
2008-09,13
2008-10,17
2008-11,25
2008-12,31
2009-01,26
2009-02,13
2009-03,15
2009-04,15
2009-05,13
2009-06,12
2009-07,12
2009-08,16
2009-09,16
2009-10,20
2009-11,24
2009-12,33
2010-01,28
2010-02,21
2010-03,19
2010-04,19
2010-05,15
2010-06,16
2010-07,18
2010-08,18
2010-09,18
2010-10,25
2010-11,28
2010-12,41
2011-01,38
2011-02,26
2011-03,22
2011-04,20
2011-05,19
2011-06,17
2011-07,24
2011-08,27
2011-09,26
2011-10,35
2011-11,36
2011-12,56
2012-01,42
2012-02,38
2012-03,27
2012-04,26
2012-05,28
2012-06,28
2012-07,28
2012-08,33
2012-09,33
2012-10,38
2012-11,50
2012-12,60
2013-01,49
2013-02,40
2013-03,32
2013-04,36
2013-05,35
2013-06,33
2013-07,32
2013-08,40
2013-09,39
2013-10,47
2013-11,54
2013-12,67
2014-01,52
2014-02,49
2014-03,35
2014-04,30
2014-05,35
2014-06,34
2014-07,33
2014-08,39
2014-09,36
2014-10,46
2014-11,49
2014-12,76
2015-01,52
2015-02,53
2015-03,38
2015-04,36
2015-05,40
2015-06,34
2015-07,42
2015-08,50
2015-09,47
2015-10,56
2015-11,59
2015-12,71
2016-01,65
2016-02,59
2016-03,46
2016-04,40
2016-05,42
2016-06,41
2016-07,45
2016-08,49
2016-09,49
2016-10,59
2016-11,69
2016-12,75
2017-01,72
2017-02,73
2017-03,57
2017-04,55
2017-05,55
2017-06,57
2017-07,59
2017-08,64
2017-09,64
2017-10,85
2017-11,88
2017-12,100
2018-01,86
2018-02,95
2018-03,59
2018-04,61
2018-05,58
2018-06,64
2018-07,63
